Date;CME_Bitcoin_future_index
29.12.17;100
02.01.18;102,66
03.01.18;103,49
04.01.18;102,97
05.01.18;114,65
08.01.18;103,01
09.01.18;101,94
10.01.18;99,86
11.01.18;92,5
12.01.18;96,37
16.01.18;77,13
17.01.18;75,64
18.01.18;81,73
19.01.18;78,7
22.01.18;71,71
23.01.18;76,87
24.01.18;77,09
25.01.18;77,4
26.01.18;75,78
29.01.18;77,19
30.01.18;68,69
31.01.18;69,11
01.02.18;62,82
02.02.18;59,33
05.02.18;50,17
06.02.18;52,18
07.02.18;56,98
08.02.18;57,53
09.02.18;59,5
12.02.18;61,23
13.02.18;60,12
14.02.18;64,28
15.02.18;69,85
16.02.18;69,45
20.02.18;81,18
21.02.18;71,67
22.02.18;69,77
23.02.18;68,76
26.02.18;70,84
27.02.18;73,67
28.02.18;73,57
01.03.18;76,47
02.03.18;76,43
05.03.18;80,27
06.03.18;73,6
07.03.18;67,66
08.03.18;64,96
09.03.18;62,3
12.03.18;61,58
13.03.18;62,68
14.03.18;57,19
15.03.18;56,91
16.03.18;59,12
19.03.18;58,05
20.03.18;61,82
21.03.18;61,45
22.03.18;59,64
23.03.18;59,58
26.03.18;54,78
27.03.18;54,7
28.03.18;54,6
29.03.18;50,69
02.04.18;48,31
03.04.18;51,55
04.04.18;47,41
05.04.18;46,72
06.04.18;45,82
09.04.18;46,13
10.04.18;47,27
11.04.18;47,82
12.04.18;53,08
13.04.18;56,01
16.04.18;55,15
17.04.18;54,49
18.04.18;56,15
19.04.18;57,08
20.04.18;58,99
23.04.18;61,19
24.04.18;65,43
25.04.18;62,2
26.04.18;61,47
27.04.18;62,75
30.04.18;64,72
01.05.18;62,09
02.05.18;63,23
03.05.18;66,86
04.05.18;66,83
07.05.18;65,2
08.05.18;63,82
09.05.18;64,13
10.05.18;62,82
11.05.18;59,61
14.05.18;60,5
15.05.18;59,12
16.05.18;57,01
17.05.18;56,56
18.05.18;56,93
21.05.18;57,94
22.05.18;56,56
23.05.18;52,52
24.05.18;52,52
25.05.18;51,42
29.05.18;51,8
30.05.18;50,59
31.05.18;52,14
01.06.18;51,42
04.06.18;51,83
05.06.18;52,7
06.06.18;52,11
07.06.18;53,25
08.06.18;52,9
11.06.18;46,65
12.06.18;44,92
13.06.18;43,33
14.06.18;45,85
15.06.18;45,13
18.06.18;46,27
19.06.18;46,54
20.06.18;46,61
21.06.18;46,4
22.06.18;42,65
25.06.18;43,2
26.06.18;42,6
27.06.18;42,4
28.06.18;41,91
29.06.18;40,53
02.07.18;45,78
03.07.18;45,47
05.07.18;44,96
06.07.18;45,37
09.07.18;46,27
10.07.18;43,92
11.07.18;43,75
12.07.18;42,57
13.07.18;42,61
16.07.18;46,13
17.07.18;50,48
18.07.18;51,11
19.07.18;51,51
20.07.18;50,75
23.07.18;53,54
24.07.18;57,11
25.07.18;56,22
26.07.18;57,05
27.07.18;56,67
30.07.18;55,98
31.07.18;53,42
01.08.18;52,14
02.08.18;52
03.08.18;50,93
06.08.18;47,82
07.08.18;48,31
08.08.18;43,75
09.08.18;44,64
10.08.18;44,16
13.08.18;43,05
14.08.18;41,98
15.08.18;44,06
16.08.18;44,26
17.08.18;44,78
20.08.18;44,44
21.08.18;44,4
22.08.18;44,26
23.08.18;44,25
24.08.18;45,66
27.08.18;46,45
28.08.18;48,94
29.08.18;48,34
30.08.18;47,03
31.08.18;48,69
04.09.18;50,79
05.09.18;47,68
06.09.18;44,44
07.09.18;44,16
10.09.18;43,3
11.09.18;43,05
12.09.18;43,47
13.09.18;44,47
14.09.18;45,09
17.09.18;43,05
18.09.18;43,37
19.09.18;44,06
20.09.18;44,22
21.09.18;46,57
24.09.18;45,68
25.09.18;43,89
26.09.18;44,75
27.09.18;45,92
28.09.18;46,1
01.10.18;45,2
02.10.18;44,99
03.10.18;44,4
04.10.18;45,3
05.10.18;45,13
08.10.18;45,82
09.10.18;45,47
10.10.18;45,2
11.10.18;42,71
12.10.18;42,74
15.10.18;44,16
16.10.18;44,37
17.10.18;44,37
18.10.18;44,15
19.10.18;44,09
22.10.18;44,17
23.10.18;44,17
24.10.18;44,33
25.10.18;44,26
26.10.18;44,16
29.10.18;43,12
30.10.18;43,16
31.10.18;43,5
01.11.18;43,64
02.11.18;43,85
05.11.18;44,16
06.11.18;44,33
07.11.18;44,99
08.11.18;44,3
09.11.18;43,78
12.11.18;43,71
13.11.18;43,43
14.11.18;37,08
15.11.18;37,49
16.11.18;37,66
19.11.18;33,41
20.11.18;29,3
21.11.18;30,32
23.11.18;28,91
26.11.18;24,91
27.11.18;25,6
28.11.18;29,61
29.11.18;28,85
30.11.18;27,16
03.12.18;26,26
04.12.18;26,54
05.12.18;25,6
06.12.18;24,88
07.12.18;22,81
10.12.18;23,32
11.12.18;22,94
12.12.18;23,64
13.12.18;22,22
14.12.18;21,73
17.12.18;24,4
18.12.18;24,15
19.12.18;25,52
20.12.18;26,77
21.12.18;26,05
24.12.18;28,07
26.12.18;25,95
27.12.18;24,5
28.12.18;26,74
31.12.18;25,22
02.01.19;26,47
03.01.19;25,98
04.01.19;25,88
07.01.19;27,54
08.01.19;27,54
09.01.19;27,57
10.01.19;24,91
11.01.19;25,12
14.01.19;25,22
15.01.19;24,43
16.01.19;24,58
17.01.19;24,87
18.01.19;24,67
22.01.19;24,63
23.01.19;24,22
24.01.19;24,33
25.01.19;24,22
28.01.19;23,36
29.01.19;23,29
30.01.19;23,57
31.01.19;23,46
01.02.19;23,67
04.02.19;23,46
05.02.19;23,5
06.02.19;23,08
07.02.19;23,08
08.02.19;24,98
11.02.19;24,91
12.02.19;24,91
13.02.19;24,65
14.02.19;24,61
15.02.19;24,6
19.02.19;27,19
20.02.19;27,23
21.02.19;26,95
22.02.19;27,16
25.02.19;26,4
26.02.19;26,09
27.02.19;25,64
28.02.19;26,19
01.03.19;26,4
04.03.19;25,5
05.03.19;26,5
06.03.19;26,54
07.03.19;26,74
08.03.19;26,88
11.03.19;26,5
12.03.19;26,57
13.03.19;26,57
14.03.19;26,57
15.03.19;26,95
18.03.19;27,37
19.03.19;27,61
20.03.19;27,71
21.03.19;27,39
22.03.19;27,51
25.03.19;26,9
26.03.19;26,99
27.03.19;27,68
28.03.19;27,68
29.03.19;28,16
01.04.19;28,51
02.04.19;33
03.04.19;35,59
04.04.19;33,45
05.04.19;34,69
08.04.19;36,01
09.04.19;36,07
10.04.19;37,42
11.04.19;35,07
12.04.19;35
15.04.19;34,62
16.04.19;35,94
17.04.19;36,17
18.04.19;36,59
22.04.19;37,28
23.04.19;38,69
24.04.19;37,56
25.04.19;37,94
26.04.19;35,11
29.04.19;35,52
30.04.19;36,14
01.05.19;36,63
02.05.19;37,25
03.05.19;39,18
06.05.19;39,7
07.05.19;40,39
08.05.19;40,77
09.05.19;41,91
10.05.19;43,99
13.05.19;54,94
14.05.19;53,77
15.05.19;56,84
16.05.19;54,42
17.05.19;49,62
20.05.19;54,25
21.05.19;55,63
22.05.19;54,96
23.05.19;54
24.05.19;55,92
28.05.19;60,55
29.05.19;60,5
30.05.19;59,99
31.05.19;58,98
03.06.19;59,71
04.06.19;52,7
05.06.19;54,15
06.06.19;52,59
07.06.19;55,36
10.06.19;55,36
11.06.19;54,73
12.06.19;56,63
13.06.19;57,26
14.06.19;58,33
17.06.19;64,82
18.06.19;62,99
19.06.19;63,65
20.06.19;66,58
21.06.19;69,14
24.06.19;76,34
25.06.19;80,06
26.06.19;97,75
27.06.19;76,68
28.06.19;87,01
01.07.19;71,7
02.07.19;75,95
03.07.19;78,58
05.07.19;77,99
08.07.19;86,01
09.07.19;88,18
10.07.19;84,8
11.07.19;81,06
12.07.19;81,06
15.07.19;75,4
16.07.19;67,24
17.07.19;67,69
18.07.19;73,11
19.07.19;72,69
22.07.19;70,88
23.07.19;71,14
24.07.19;67,52
25.07.19;68,73
26.07.19;69,25
29.07.19;65,86
30.07.19;67,28
31.07.19;69,9
01.08.19;72,22
02.08.19;73,26
05.08.19;82,31
06.08.19;81,76
07.08.19;82,14
08.08.19;80,79
09.08.19;82,55
12.08.19;79,89
13.08.19;75,64
14.08.19;70,21
15.08.19;70,01
16.08.19;72,67
19.08.19;74,26
20.08.19;74,46
21.08.19;69,9
22.08.19;70,51
23.08.19;72,54
26.08.19;71,97
27.08.19;71
28.08.19;67,35
29.08.19;66,14
30.08.19;66,69
03.09.19;74,64
04.09.19;74,88
05.09.19;73,43
06.09.19;72,29
09.09.19;71,67
10.09.19;69,52
11.09.19;69,97
12.09.19;71,94
13.09.19;70,94
16.09.19;70,04
17.09.19;71,22
18.09.19;70,53
19.09.19;70,28
20.09.19;70,62
23.09.19;68,22
24.09.19;58,19
25.09.19;58,09
26.09.19;56,53
27.09.19;55,53
30.09.19;57,6
01.10.19;57,53
02.10.19;57,15
03.10.19;56,39
04.10.19;56,84
07.10.19;57,05
08.10.19;56,46
09.10.19;59,74
10.10.19;59,4
11.10.19;57,74
14.10.19;57,74
15.10.19;56,46
16.10.19;54,94
17.10.19;55,76
18.10.19;55,09
21.10.19;56,89
22.10.19;56,79
23.10.19;51,87
24.10.19;51,83
25.10.19;60,23
28.10.19;65,86
29.10.19;64,37
30.10.19;64,06
31.10.19;64,31
01.11.19;63,82
04.11.19;66,1
05.11.19;65,1
06.11.19;64,69
07.11.19;63,72
08.11.19;61,13
11.11.19;60,47
12.11.19;61,06
13.11.19;60,71
14.11.19;59,95
15.11.19;58,78
18.11.19;56,7
19.11.19;56,05
20.11.19;56,1
21.11.19;52,48
22.11.19;50,76
25.11.19;49,65
26.11.19;49,24
27.11.19;52,7
29.11.19;53,9
02.12.19;50,69
03.12.19;50,73
04.12.19;49,9
05.12.19;51,28
06.12.19;51,55
09.12.19;50,59
10.12.19;49,86
11.12.19;49,59
12.12.19;50,21
13.12.19;50,21
16.12.19;47,41
17.12.19;45,47
18.12.19;49,34
19.12.19;49,59
20.12.19;50,05
23.12.19;51,46
24.12.19;50,28
26.12.19;50,45
27.12.19;50,21
30.12.19;50,35
31.12.19;49,83
02.01.20;47,96
03.01.20;51,04
06.01.20;52,63
07.01.20;57,22
08.01.20;56,05
09.01.20;54,49
10.01.20;56,22
13.01.20;56,67
14.01.20;60,47
15.01.20;61,37
16.01.20;60,75
17.01.20;61,68
21.01.20;60,47
22.01.20;59,99
23.01.20;57,93
24.01.20;58,85
27.01.20;62,49
28.01.20;63,25
29.01.20;65,83
30.01.20;67,24
31.01.20;65,24
03.02.20;65,03
04.02.20;63,96
05.02.20;67,93
06.02.20;68,38
07.02.20;68,04
10.02.20;68,66
11.02.20;71,91
12.02.20;72,74
13.02.20;71,22
14.02.20;72,53
18.02.20;70,84
19.02.20;70,66
20.02.20;66,65
21.02.20;67,71
24.02.20;66,95
25.02.20;65,04
26.02.20;61,4
27.02.20;61,82
28.02.20;60,12
02.03.20;62,02
03.03.20;60,61
04.03.20;60,54
